"","x","y","layer_Categories","cum_cost"
"259",500,11700,"Corn",0.000592962106910913
"260",500,11900,"Corn",0.0015815876899383
"261",500,12100,"Corn",0.00118377243255174
"262",500,12300,"Corn",0.00107714426349884
"263",500,12500,"Beef",0.248249141537817
"264",500,12700,"Forest",0
"265",500,12900,"Forest",0
"266",500,13100,"Forest",0
"267",500,13300,"Forest",0
"268",500,13500,"Forest",0
"269",500,13700,"Forest",0
"270",500,13900,"Forest",0
"271",500,14100,"Forest",0
"272",500,14300,"Forest",0
"273",500,14500,"Forest",0
"274",500,14700,"Forest",0
"275",500,14900,"Forest",0
"276",500,15100,"Forest",0
"277",500,15300,"Forest",0
"278",500,15500,"Forest",0
"279",500,15700,"Forest",0
"280",500,15900,"Forest",0
"281",500,16100,"Forest",0
"282",500,16300,"Beef",0.20431113007241
"283",500,16500,"Forest",0
"284",500,16700,"Forest",0
"285",500,16900,"Beef",0.215750585099017
"286",500,17100,"Corn",0.00718075670838183
"287",500,17300,"Corn",0.0023420453104866
"288",500,17500,"Corn",0.00151169805246705
"289",500,17700,"Corn",0.00298999547907357
"290",500,17900,"Corn",0.00141123123151633
"291",500,18100,"Corn",0.00138754889446898
"292",500,18300,"Corn",0.00192815261863469
"293",500,18500,"Corn",0.00067199547175102
"294",500,18700,"Corn",0.0013612087908766
"295",500,18900,"Corn",0.00229050236700799
"296",500,19100,"Corn",0.00317765311466019
"297",500,19300,"Corn",0.00218674015427079
"298",500,19500,"Corn",0.00238101804064902
"299",500,19700,"Corn",0.00231312703882968
"300",500,19900,"Corn",0.00183555967817374
"301",700,100,"Water",0
"302",700,300,"Water",0
"303",700,500,"Water",0
"304",700,700,"Water",0
"305",700,900,"Water",0
"306",700,1100,"Water",0
"307",700,1300,"Water",0
"308",700,1500,"Water",0
"309",700,1700,"Water",0
"310",700,1900,"Water",0
"311",700,2100,"Water",0
"312",700,2300,"Water",0
"313",700,2500,"Water",0
"314",700,2700,"Water",0
"315",700,2900,"Forest",0
"316",700,3100,"Forest",0
"317",700,3300,"Forest",0
"318",700,3500,"Forest",0
"319",700,3700,"Forest",0
"320",700,3900,"Forest",0
"321",700,4100,"Forest",0
"322",700,4300,"Forest",0
"323",700,4500,"Forest",0
"324",700,4700,"Forest",0
"325",700,4900,"Forest",0
"326",700,5100,"Forest",0
"327",700,5300,"Forest",0
"328",700,5500,"Forest",0
"329",700,5700,"Forest",0
"330",700,5900,"Forest",0
"331",700,6100,"Forest",0
"332",700,6300,"Forest",0
"333",700,6500,"Beef",0.22496987000781
"334",700,6700,"Corn",0.00662991266023493
"335",700,6900,"Beef",0.614556735922987
"336",700,7100,"Beef",0.154378126171129
"337",700,7300,"Beef",0.384178514325669
